quelle,name,tokens_geschaetzt,trigger,funktionsumfang,erstellt,geaendert
home,notebooklm,1320,"NotebookLM, notebook, podcast generation, audio overview, study materials, quiz generation, flashcards, mind map, slide deck from sources, research notebook, video overview, NotebookLM API.","Google NotebookLM automation via notebooklm-py — create notebooks, add sources (URLs, PDFs, YouTube, text), generate audio/video overviews, quizzes, flashcards, slide decks, infographics, mind maps, reports, data tables",2026-03-15,2026-03-15
home,ntfy,278,"Claude needs to notify the user about completed tasks, research results, reports, or any important updates. Sends markdown-formatted messages to the user's phone/desktop.""","""Send push notifications via ntfy.niclasedge.com",2026-03-01,2026-03-01
home,opensrc,719,"the agent needs to understand how a library works internally, read source code for a package, fetch implementation details for a dependency, or explore how an npm/PyPI/crates.io package is built. Triggers include ""fetch source for"", ""read the source of"", ""how does X work internally"", ""get the implementation of"", ""opensrc path"", or any task requiring access to dependency source code beyond types and docs.",Fetch dependency source code to give AI agents deeper implementation context,2026-06-04,2026-06-04
home,organize-project,1513,"knowledge structure is inconsistent, PARA folders exist, knowledge/CLAUDE.md still present, or docs/research/Plans/ at root level.","Standardize a project's knowledge/ folder to Option B layout (facts.md, CHANGELOG.md, decisions.md, lessons-learned.md, plans/, specs/, research/). Removes PARA structure. Migrates content to facts.md and root CLAUDE.md. Ensures root CLAUDE.md is current. Works for regular projects AND ObsidianPKM vault",2026-04-06,2026-04-06
home,paperclip-lite,1203,the PCLITE_RUN_ID environment variable is set.,Minimal heartbeat protocol for folder-based Claude Code orchestration via pclite,2026-04-12,2026-04-12
home,pdf,306,"the user wants to do anything with PDF files. This includes reading or extracting text/tables from PDFs, combining or merging multiple PDFs into one, splitting PDFs apart, rotating pages, adding watermarks, creating new PDFs, filling PDF forms, encrypting/decrypting PDFs, extracting images, and OCR on scanned PDFs to make them searchable. If the user mentions a .pdf file or asks to produce one, use this skill.","Use this skill whenever the user wants to do anything with PDF files. This includes reading or extracting text/tables from PDFs, combining or merging multiple PDFs into one, splitting PDFs apart, rotating pages, adding watermarks, creating new PDFs, filling PDF forms, encrypting/decrypting PDFs, extracting images, and OCR on scanned PDFs to make them searchable. If the user mentions a .pdf file or asks to produce one, use this skill.",2026-03-01,2026-03-01
home,pptx,432,"whenever the user mentions \""deck,\"" \""slides,\"" \""presentation,\"" or references a .pptx filename, regardless of what they plan to do with the content afterward. If a .pptx file needs to be opened, created, or touched, use this skill.""","""Use this skill any time a .pptx file is involved in any way — as input, output, or both. This includes: creating slide decks, pitch decks, or presentations; reading, parsing, or extracting text from any .pptx file (even if the extracted content will be used elsewhere, like in an email or summary); editing, modifying, or updating existing presentations; combining or splitting slide files; working with templates, layouts, speaker notes, or comments",2026-03-01,2026-03-01
home,prototype,807,"the user wants to prototype, sanity-check a data model or state machine, mock up a UI, explore design options, or says ""prototype this"", ""let me play with it"", ""try a few designs"".","Build a throwaway prototype to flesh out a design before committing to it. Routes between two branches — a runnable terminal app for state/business-logic questions, or several radically different UI variations toggleable from one route",2026-05-14,2026-05-14
home,python-coding-best-practice,253,,"""Best practices for writing Python scripts — CORS server pattern, uv inline dependencies, and modern conventions""",2026-03-01,2026-03-01
home,qmd,1954,"qmd, qmd query, qmd search, hybride suche, semantische suche, vector search, hyde, ueber projekte hinweg suchen, collection list, qmd status, qmd collection.",Hybride Markdown-Suche (BM25 + Vector + HyDE) ueber alle indizierten Vaults/Repos via qmd-CLI,2026-06-04,2026-06-04
home,recall,532,,"Durchsuche vergangene Sessions, Wiki und Projects nach Themen oder Datum",2026-06-04,2026-06-04
home,remote-deployment-ansible,272,,"""Deploye Projekte auf Remote-Server via Ansible — rsync oder git-pull, Docker Compose, Health Checks. Erstelle und führe Ansible-Playbooks aus.""",2026-03-01,2026-03-01
home,Research,1566,"research, do research, quick research, extensive research, deep investigation, find information, investigate, extract alpha, analyze content, retrieve content, use fabric, AI trends, Claude research, enhance content, extract knowledge, interview research, web scraping, YouTube extraction, standard research.","Comprehensive research and content extraction — quick/standard/extensive/deep modes with multi-agent parallel research, content retrieval, AI trends analysis, and 242+ Fabric patterns",2026-03-10,2026-03-10
home,review,1848,,"Router fuer Vault-Reviews. Nutzt `skripte/review-routing-audit.py` als kanonische Gate-Quelle und delegiert dann in Daily, Weekly, Monthly, Initial Task Audit, Reference Review oder Claude-Code-Development Review.",2026-06-04,2026-06-04
home,Security,352,"recon, reconnaissance, port scan, subdomain, DNS, WHOIS, ASN, netblock, CIDR, mass scan, path discovery, endpoint discovery, corporate structure, bounty programs, IP recon, domain recon, passive recon, web assessment, OWASP, pentest, threat model, vulnerability analysis, ffuf, Playwright, Gemini analysis, prompt injection, jailbreak, LLM security, guardrail bypass, direct injection, indirect injection, multi-stage attack, security news, sec updates, breaches, tldrsec, security research, annual reports, threat landscape, security trends, vendor reports, fetch report, list sources.","Security assessment and intelligence — network reconnaissance, web app security testing, prompt injection testing, security news monitoring, and annual report analysis",2026-03-10,2026-03-10
home,session-analyser,1154,"analyse sessions, session report, token waste, context audit from logs, session lessons, claude session analysis, what is wasting tokens, repeated errors, session patterns, improve my workflow, analyse jsonl logs.","Analyse Claude Code session logs for the current project to surface token waste, repeated failures, and workflow inefficiencies. Produces a structured report and proposes knowledge-file additions and CLAUDE.md trim patches (never auto-applies)",2026-06-04,2026-06-04
home,session-init,375,"neue Session, Session Start, Kontext laden, was ist das Projekt, aktive Tasks, inject-project-context, sessionStart hook.",Session-Start in Cursor — Kontext aus Hooks und Projekt-Knowledge laden,2026-06-04,2026-06-04
home,session-stop,378,"Session beenden, stop hook, PKM sync, Changelog schreiben, Resume State, knowledge finish, was wurde gemacht dokumentieren, stop-workflow.",Session-Ende und PKM-Sync in Cursor,2026-06-04,2026-06-04
home,setup-matt-pocock-skills,1698,,"Sets up an `## Agent skills` block in AGENTS.md/CLAUDE.md and `docs/agents/` so the engineering skills know this repo's issue tracker (GitHub or local markdown), triage label vocabulary, and domain doc layout. Run before first use of `to-issues`, `to-prd`, `triage`, `diagnose`, `tdd`, `improve-codebase-architecture`, or `zoom-out` — or if those skills appear to be missing context about the issue tracker, triage labels, or domain docs.",2026-05-14,2026-05-14
home,skill-creator,396,"users want to create a new skill (or update an existing skill) that extends Claude's capabilities with specialized knowledge, workflows, or tool integrations.",Guide for creating effective skills,2026-03-01,2026-03-01
home,Slack,653,"slack, send slack, notify slack, check slack, read slack channel, slack message, slack image, captcha notification.""","""Send messages (with images) and read channel responses via Slack Bot API",2026-04-13,2026-04-13
home,social-media-manager,3383,"social media status, account status, create instagram, create facebook, post to instagram, post to facebook, which accounts missing, social media overview, persona accounts.""","""Manage social media accounts across all affiliate personas — check status, create accounts via Playwright CDP, post content, handle CAPTCHA/SMS via Slack",2026-03-08,2026-03-08
home,sqlite,1244,"sqlite, sql query, database query, format sql, validate sql, schema analysis, sql error, write query, sql help, .db file, sqlite3.","Write, format, validate, and analyze SQLite queries using syntaqlite",2026-04-08,2026-04-08
home,taskmd,773,,"Use for Niclas' Markdown-first TaskNotes/taskmd workflow: inspect current project tasks, list next work, create TaskNotes markdown tasks, and manage project metadata. Prefer the `tn` CLI / tasknotes_cli.py over the old Rust `task` CLI.",2026-05-09,2026-05-09
home,tdd,1093,"user wants to build features or fix bugs using TDD, mentions ""red-green-refactor"", wants integration tests, or asks for test-first development.",Test-driven development with red-green-refactor loop,2026-05-14,2026-05-14
home,Thinking,463,"first principles, decompose, deconstruct, reconstruct, challenge assumptions, iterative depth, multi-angle, deep exploration, be creative, brainstorm, divergent ideas, tree of thoughts, maximum creativity, technical creativity, idea generation, domain specific, council, debate, perspectives, quick consensus, red team, critique, stress test, adversarial validation, parallel analysis, devil's advocate, threat model, world model, future analysis, test idea, test investment, update models, view models, time horizon, think about, figure out, experiment, iterate, science, hypothesis, define goal, design experiment, quick diagnosis, structured investigation, full cycle.","Multi-mode analytical and creative thinking — first principles decomposition, iterative depth analysis, creative brainstorming, multi-agent council debates, adversarial red teaming, world threat modeling, and scientific hypothesis testing",2026-03-10,2026-03-10
home,to-issues,892,"user wants to convert a plan into issues, create implementation tickets, or break down work into issues.","Break a plan, spec, or PRD into independently-grabbable issues on the project issue tracker using tracer-bullet vertical slices",2026-05-14,2026-05-14
home,to-prd,777,user wants to create a PRD from the current context.,Turn the current conversation context into a PRD and publish it to the project issue tracker,2026-05-14,2026-05-14
home,todoist,222,"the user wants to manage Todoist tasks programmatically or via command line.""","""Quick Todoist interactions via CLI - list projects/sections, view open tasks, add todos with due dates and labels, mark tasks complete",2026-03-01,2026-03-01
home,triage,1210,"user wants to create an issue, triage issues, review incoming bugs or feature requests, prepare issues for an AFK agent, or manage issue workflow.",Triage issues through a state machine driven by triage roles,2026-05-14,2026-05-14
home,USMetrics,1466,"GDP, inflation, unemployment, economic metrics, gas prices, how is the economy, update data, refresh data, get current state, economic overview, FRED, fetch FRED series, generate analysis, update substrate metrics, US metrics, economic trends.","68 US economic indicators from FRED, EIA, Treasury, BLS, Census APIs with trend analysis and cross-metric correlation. Updates Substrate dataset, produces economic overviews",2026-03-10,2026-03-10
home,Utilities,1082,"create CLI, build CLI, command-line tool, wrap API, add command, upgrade tier, TypeScript CLI, create skill, new skill, scaffold skill, validate skill, update skill, fix skill structure, canonicalize skill, parallel execution, agent teams, delegate, workstreams, swarm, upgrade, improve system, system upgrade, check Anthropic, algorithm upgrade, mine reflections, find sources, research upgrade, PAI upgrade, eval, evaluate, test agent, benchmark, verify behavior, regression test, capability test, run eval, compare models, compare prompts, create judge, view results, document, process file, create document, convert format, extract text, PDF, DOCX, XLSX, PPTX, Word, Excel, spreadsheet, PowerPoint, presentation, slides, consulting report, large PDF, merge PDF, fill form, tracked changes, redlining, parse, extract, URL, transcript, entities, JSON, batch, YouTube, article, newsletter, Twitter, browser extension, collision detection, detect content type, extract article, extract newsletter, extract YouTube, extract PDF, parse content, clean audio, edit audio, remove filler words, clean podcast, remove ums, cut dead air, polish audio, transcribe, analyze audio, audio pipeline, fabric, fabric pattern, run fabric, update patterns, sync fabric, summarize, threat model pattern, Cloudflare, worker, deploy, Pages, MCP server, wrangler, DNS, KV, R2, D1, Vectorize, browser, screenshot, debug web, verify UI, troubleshoot frontend, automate browser, browse website, review stories, run stories, web automation, meta-prompting, template generation, prompt optimization, programmatic prompt, render template, validate template, prompt engineering, aphorism, quote, saying, find quote, research thinker, newsletter quotes, add aphorism, search aphorisms.","Developer utilities and tools — CLI generation, skill scaffolding, agent delegation, system upgrades, evals, documents, parsing, audio editing, Fabric patterns, Cloudflare infrastructure, browser automation, meta-prompting, and aphorisms",2026-03-10,2026-03-10
home,write-a-skill,756,"user wants to create, write, or build a new skill.","Create new agent skills with proper structure, progressive disclosure, and bundled resources",2026-05-14,2026-05-14
home,xlsx,524,"especially when the user references a spreadsheet file by name or path — even casually (like \""the xlsx in my downloads\"") — and wants something done to it or produced from it. Also trigger for cleaning or restructuring messy tabular data files (malformed rows, misplaced headers, junk data) into proper spreadsheets. The deliverable must be a spreadsheet file. Do NOT trigger when the primary deliverable is a Word document, HTML report, standalone Python script, database pipeline, or Google Sheets API integration, even if tabular data is involved.""","""Use this skill any time a spreadsheet file is the primary input or output. This means any task where the user wants to: open, read, edit, or fix an existing .xlsx, .xlsm, .csv, or .tsv file (e.g., adding columns, computing formulas, formatting, charting, cleaning messy data); create a new spreadsheet from scratch or from other data sources; or convert between tabular file formats",2026-03-01,2026-03-01
home,youtube-deutsch,266,,"""Uebersetzt YouTube-Videos ins Deutsche: Video herunterladen, Untertitel extrahieren, mit Ollama uebersetzen, TTS-Audio generieren, neues Video erstellen und ins Zielverzeichnis kopieren.""",2026-03-01,2026-03-01
home,yt-skript,1534,"yt-skript, video skript, youtube script, skript erstellen, script schreiben, video erstellen.""","""Erstellt professionelle YouTube-Video-Skripte mit integrierter Web-Recherche, Quellenangaben und Source-Referenzen. Kombiniert Research + Script in einer Session",2026-04-03,2026-04-03
home,zoom-out,108,you're unfamiliar with a section of code or need to understand how it fits into the bigger picture.,Tell the agent to zoom out and give broader context or a higher-level perspective,2026-05-14,2026-05-14
projekt,cc-setup,272,,SPOC routing and PKM runtime contract for cc-setup plugin. Use at session start and when dispatching roles.,2026-05-31,2026-05-31
projekt,check-links,709,,"Find broken wiki-links in the vault. Read-only analysis — scans for [[links]] and verifies target files exist. No writes, no dependencies.",2026-05-09,2026-05-09
projekt,daily-review,2374,"daily review, daily recap, ueberfaellige tasks, warum nicht erledigt, reschedule, reminder fuer waiting, blocked tasks, sprint cleanup, /daily-review.","Daily Recap fuer den Obsidian-Vault — scannt Efforts/ nach ueberfaelligen Tasks/Terminen und waiting-Items ohne scheduled, gruppiert nach Projekt + Status, schlaegt Bulk-Aktionen vor (status=done, clear-scheduled, reschedule). Aendert Frontmatter atomic und schreibt CHANGELOG-Eintraege",2026-05-26,2026-05-26
projekt,knowledge,860,"knowledge get, knowledge finish, load context, project context, session finish, sync knowledge, end session, close session, was wurde gemacht, context laden.",Load project context or finish a session with knowledge sync,2026-04-03,2026-04-03
projekt,local-ci,2019,"local ci, localci, pre-push gate, push gaten, pipeline.yml, .localci, gate tests before push, ci report ohne server, runs.html, lokale CI einrichten, CI in anderes repo einbauen.","Lokale git-gesteuerte CI-Pipeline (localci) in ein Repo einbauen — ein pre-push-Hook, der Tests/Lint als Gate ausfuehrt, schlechte Pushes blockt, Deployment nur bei Erfolg laufen laesst und pro Lauf CTRF-JSON + GitHub-Style-HTML-Report (runs.html + Detailseiten) erzeugt",2026-05-31,2026-05-31
projekt,opensrc,719,"the agent needs to understand how a library works internally, read source code for a package, fetch implementation details for a dependency, or explore how an npm/PyPI/crates.io package is built. Triggers include ""fetch source for"", ""read the source of"", ""how does X work internally"", ""get the implementation of"", ""opensrc path"", or any task requiring access to dependency source code beyond types and docs.",Fetch dependency source code to give AI agents deeper implementation context,2026-05-25,2026-05-25
projekt,qmd,1954,"qmd, qmd query, qmd search, hybride suche, semantische suche, vector search, hyde, ueber projekte hinweg suchen, collection list, qmd status, qmd collection.",Hybride Markdown-Suche (BM25 + Vector + HyDE) ueber alle indizierten Vaults/Repos via qmd-CLI,2026-05-24,2026-05-24
projekt,recall,532,,"Durchsuche vergangene Sessions, Wiki und Projects nach Themen oder Datum",2026-05-10,2026-05-10
projekt,review,1848,,"Router fuer Vault-Reviews. Nutzt `skripte/review-routing-audit.py` als kanonische Gate-Quelle und delegiert dann in Daily, Weekly, Monthly, Initial Task Audit, Reference Review oder Claude-Code-Development Review.",2026-05-26,2026-05-26
projekt,session-analyser,1154,"analyse sessions, session report, token waste, context audit from logs, session lessons, claude session analysis, what is wasting tokens, repeated errors, session patterns, improve my workflow, analyse jsonl logs.","Analyse Claude Code session logs for the current project to surface token waste, repeated failures, and workflow inefficiencies. Produces a structured report and proposes knowledge-file additions and CLAUDE.md trim patches (never auto-applies)",2026-06-04,2026-06-04
projekt,session-init,375,"neue Session, Session Start, Kontext laden, was ist das Projekt, aktive Tasks, inject-project-context, sessionStart hook.",Session-Start in Cursor — Kontext aus Hooks und Projekt-Knowledge laden,2026-05-28,2026-05-28
projekt,session-stop,378,"Session beenden, stop hook, PKM sync, Changelog schreiben, Resume State, knowledge finish, was wurde gemacht dokumentieren, stop-workflow.",Session-Ende und PKM-Sync in Cursor,2026-05-28,2026-05-28
